Status,Date,Description,Debit,Credit
Cleared,12/29/2024,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,12/29/2024,"WSDOT-GOODTOGO ONLINE RENTON WA",9.80,
Cleared,12/29/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",21.95,
Cleared,12/29/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",19.98,
Cleared,12/28/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",21.97,
Cleared,12/28/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",19.94,
Cleared,12/26/2024,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,12/24/2024,"STARBUCKS 800-782-7282 800-782-7282 WA",35.00,
Cleared,12/21/2024,"NETFLIX.COM NETFLIX.COM CA null XXXXXXXXXXXX8399",25.37,
Cleared,12/19/2024,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,12/18/2024,"APPLE.COM/BILL 866-712-7753 CA",11.02,
Cleared,12/16/2024,"WSDOT-GOODTOGO ONLINE RENTON WA",30.00,
Cleared,12/15/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",21.93,
Cleared,12/15/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",40.94,
Cleared,12/15/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",33.95,
Cleared,12/13/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",14.95,
Cleared,12/13/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.91,
Cleared,12/13/2024,"SDOT PAYBYPHONE PARKIN SEATTLE WA",2.00,
Cleared,12/12/2024,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.13,
Cleared,12/11/2024,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,12/11/2024,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,12/08/2024,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-680.69
Cleared,12/08/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",15.67,
Cleared,12/08/2024,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",16.78,
